"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","SCF%","SCF60","SCA60","SC+/-","SCP60","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"21","WSH","20142015",17,15,151,161,135,140,248,281,176,208,117,141,14,9,124,145,88,107,80,281.583333333333,6,46.8809073724008,52.8440366972477,59.8757028706718,-33,112.71973956792,45.8333333333333,37.5022195915951,44.3208049718852,-32,81.8230245634803,45.3488372093023,24.9304527966854,30.0443918319029,-24,60.8695652173913,2.98313110387689,1.91772713820657,5,46.0966542750929,26.4220183486239,30.8967150044392,-21,57.318733353063,52.3809523809524,105.582833242408,49.0909090909091,66.4772727272727,47.1774193548387,11.965811965812,7.95454545454545,93.6170212765958,59,67,72,73
"22","S.J","20142015",14,26,158,151,172,162,276,314,201,236,137,155,9,18,98,125,101,120,113,327.3,7,46.7796610169492,50.5957836846929,57.5618698441796,-38,108.157653528873,45.9954233409611,36.8469294225481,43.263061411549,-35,80.1099908340972,46.9178082191781,25.1145737855179,28.4142988084326,-18,33.3333333333333,1.64986251145738,3.29972502291476,-9,43.9461883408072,17.9651695692026,22.9147571035747,-27,40.8799266727773,47.196261682243,94.956439839887,51.497005988024,68.1592039800995,49.6376811594203,6.56934306569343,4.47761194029851,88.3870967741936,64,81,75,78
"23","ARI","20142015",15,19,222,221,139,151,236,281,181,220,129,150,7,15,92,124,97,96,97,285.741666666667,6,45.6479690522244,49.5552509551168,59.0043454168976,-45,108.559596372014,45.1371571072319,38.0063577240514,46.1955729242614,-39,84.2019306483129,46.2365591397849,27.0874041237715,31.4969815392692,-21,31.8181818181818,1.46985913849923,3.14969815392692,-8,42.5925925925926,19.3181486774184,26.0375047391292,-32,45.3556534165476,50,95.4263565891473,47.9310344827586,71.2707182320442,54.6610169491525,5.42635658914729,3.86740331491713,90,52,70,55,61
"24","N.J","20142015",21,20,137,163,137,153,228,275,171,202,119,160,13,10,107,118,77,117,96,350.691666666667,7,45.3280318091451,39.0086258108975,47.0498776227931,-47,86.0585034336906,45.8445040214477,29.2564693581731,34.5602737447425,-31,63.8167431029157,42.6523297491039,20.3597652258632,27.3744742532614,-41,56.5217391304348,2.22417603307749,1.71090464082884,3,47.5555555555556,18.3066796568686,20.1886747617803,-11,38.4953544186489,44.5086705202312,104.674369747899,47.2413793103448,69.5906432748538,52.1929824561403,10.9243697478992,7.60233918128655,93.75,52,42,57,73
"25","EDM","20142015",23,17,145,169,154,167,278,339,186,244,123,168,13,11,85,154,92,108,121,341.208333333333,7,45.0567260940032,48.8850897545488,59.6116741970937,-61,108.496763951642,43.2558139534884,32.7072902674319,42.9063377701795,-58,75.6136280376114,42.2680412371134,21.6290145316889,29.5420686286482,-45,54.1666666666667,2.28599340578825,1.93430211259006,2,35.5648535564854,14.9468799609232,27.0802295762608,-69,42.027109537184,43.1924882629108,104.021486643438,47.9750778816199,66.1290322580645,44.2446043165468,10.5691056910569,6.98924731182796,93.4523809523809,63,76,92,95
"26","TOR","20142015",15,18,184,160,151,170,263,334,204,264,143,182,12,19,122,147,71,129,121,336.183333333333,7,44.0536013400335,46.9386743344405,59.6103316642705,-71,106.549005998711,43.5897435897436,36.4087055673987,47.1171483813395,-60,83.5258539487383,44,25.5217887065589,32.4822765356204,-39,38.7096774193548,2.14168856278816,3.39100689108125,-7,45.3531598513011,21.7738337216796,26.235684894155,-25,48.0095186158346,36.9791666666667,97.9520479520479,47.0404984423676,70.0980392156863,54.3726235741445,8.39160839160839,5.88235294117647,89.5604395604396,61,82,59,70
"27","MTL","20142015",13,16,100,169,132,149,201,277,158,200,118,145,12,7,88,140,73,93,115,289.525,6,42.0502092050209,41.6544339867024,57.4043692254555,-76,99.0588032121579,44.1340782122905,32.7432864174078,41.4471979967188,-42,74.1904844141266,44.8669201520913,24.4538468180641,30.0492185476211,-27,63.1578947368421,2.48683187980313,1.45065192988516,5,38.5964912280702,18.2367671185563,29.0130385977031,-52,47.2498057162594,38.8297872340426,105.341905318527,46.9750889679715,74.6835443037975,58.7064676616915,10.1694915254237,7.59493670886076,95.1724137931034,40,55,43,77
"28","COL","20142015",20,13,166,110,162,160,246,351,191,253,143,175,16,13,109,154,100,100,122,333.858333333333,7,41.2060301507538,44.2103686693458,63.0806479794324,-105,107.291016648778,43.018018018018,34.3259366497766,45.4683872900182,-62,79.7943239397948,44.9685534591195,25.6995232508799,31.450465516811,-32,55.1724137931034,2.87547113296558,2.33632029553453,3,41.4448669201521,19.589147093328,27.6764096547937,-45,47.2655567481217,45.045045045045,103.76023976024,50.3105590062112,74.869109947644,58.130081300813,11.1888111888112,8.37696335078534,92.5714285714286,48,78,55,98
"29","CGY","20142015",9,21,131,87,143,153,214,327,145,222,106,140,10,12,86,130,78,95,123,287.441666666667,6,39.5563770794824,44.6699330298901,68.2573275737106,-113,112.927260603601,39.5095367847411,30.2670106978227,46.3398370683907,-77,76.6068477662134,43.0894308943089,22.1262285101325,29.2233206737599,-34,45.4545454545455,2.08738004812571,2.50485605775085,-2,39.8148148148148,17.9514684138811,27.1359406256342,-44,45.0874090395153,38.8059701492537,100.862533692722,48.3108108108108,73.1034482758621,49.5327102803738,9.43396226415094,6.89655172413793,91.4285714285714,39,82,69,105
"30","BUF","20142015",17,16,185,120,177,162,218,382,160,274,117,203,5,20,79,183,87,126,126,351.091666666667,7,36.3333333333333,37.2552277420427,65.2820963186252,-164,102.537324060668,36.8663594470046,27.3432864161781,46.825377987705,-114,74.1686644038831,36.5625,19.9947781918302,34.691794640526,-86,20,0.854477700505566,3.41791080202226,-15,30.1526717557252,13.5007476679879,31.2738838385037,-104,44.7746315064917,40.8450704225352,94.4212875247358,52.212389380531,73.125,53.6697247706422,4.27350427350427,3.125,90.1477832512315,43,71,58,108
